segment,ave_orders_per_day,ave_age,ave_order_total,ave_item_price,ave_orders_per_cust,total_customers
all customers,"3,766",40,$98,$45,4,"2,104,739"
is_extracts_only,80,35,$104,$51,9,"12,627"
is_vapes_only,530,36,$103,$52,8,"96,506"
is_tinctures_only,5,58,$98,$49,3,"1,661"
is_flower_only,985,42,$96,$52,11,"150,429"
is_tablets_only,11,53,$96,$35,3,"2,675"
is_topicals_only,5,59,$94,$48,2,"2,459"
is_edibles_only,211,48,$90,$32,4,"72,646"
is_drinks_only,5,45,$76,$27,3,"1,183"
is_prerolls_only,171,39,$52,$26,7,"37,997"
is_discount_sensitive,"2,373",40,$97,$45,21,"235,299"
is_most_frequent,"1,245",40,$89,$43,40,"52,131"
is_least_frequent,194,41,$111,$46,6,"56,552"
is_high_spender,617,44,$195,$54,15,"80,701"
is_low_spender,922,38,$44,$33,22,"74,899"
